SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2313 Cowley Way,San Diego,CA,92110,735000,3,2.0,Bay Park,1080,9000,1956,50,681,,Active,,,http://www.redfin.com/CA/San-Diego/2313-Cowley-Way-92110/home/5220668,SDMLS,180062907,N,Y,32.7841727,-117.1873385
MLS Listing,,Single Family Residential,4670 Louisiana St,San Diego,CA,92116,729900,2,1.0,University Heights,944,6599,1939,67,773,,Active,,,http://www.redfin.com/CA/San-Diego/4670-Louisiana-St-92116/home/5292504,SDMLS,180059812,N,Y,32.7622689,-117.1403637
MLS Listing,,Single Family Residential,1218 MERRITT Dr,EL CAJON,CA,92020,729900,3,3.0,El Cajon,2204,11761,2013,27,331,,Active,,,http://www.redfin.com/CA/El-Cajon/1218-Merritt-Dr-92020/home/5618196,SDMLS,180066192,N,Y,32.783319,-116.940483
MLS Listing,,Single Family Residential,7995 Bevin,El Cajon,CA,92021,729000,4,2.5,El Cajon,2323,,2016,63,314,,Active,,,http://www.redfin.com/CA/El-Cajon/7995-Bevin-Ln-92021/home/95963461,SDMLS,180060483,N,Y,32.8228104,-116.9383734
MLS Listing,,Single Family Residential,4122 Cole Way,San Diego,CA,92117,729000,3,2.0,Clairemont,1291,7100,1990,53,565,,Active,,,http://www.redfin.com/CA/San-Diego/4122-Cole-Way-92117/home/6236352,SDMLS,180062291,N,Y,32.8414953,-117.2034187
MLS Listing,,Single Family Residential,5638 Baja Dr,San Diego,CA,92115,729000,4,2.5,San Diego,1793,,1957,122,407,,Active,,,http://www.redfin.com/CA/San-Diego/5638-Baja-Dr-92115/home/5465083,SDMLS,180048826,N,Y,32.7668092,-117.0738689
MLS Listing,,Single Family Residential,8434 Lake Gaby,San Diego,CA,92119,729000,4,3.0,San Carlos,2300,,1960,18,317,,Active,,,http://www.redfin.com/CA/San-Diego/8434-Lake-Gaby-Ave-92119/home/5417707,SDMLS,180067397,N,Y,32.8022864,-117.0150185
MLS Listing,,Single Family Residential,3184 NORZEL Dr,SAN DIEGO,CA,92111,729000,4,2.0,Clairemont,1662,7100,1962,52,439,,Active,,,http://www.redfin.com/CA/San-Diego/3184-Norzel-Dr-92111/home/5205740,SDMLS,180062774,N,Y,32.7998577,-117.1837548
MLS Listing,,Single Family Residential,1270 Pepper Dr,El Cajon,CA,92021,729000,4,2.0,El Cajon,1886,16390,1955,80,387,,Active,,,http://www.redfin.com/CA/El-Cajon/1270-Pepper-Dr-92021/home/5063709,SDMLS,180057310,N,Y,32.8211589,-116.9359814
MLS Listing,,Single Family Residential,2314 Murray Ridge Rd,San Diego,CA,92123,728000,4,2.5,Serra Mesa,2000,,1961,61,364,,Active,,,http://www.redfin.com/CA/San-Diego/2314-Murray-Ridge-Rd-92123/home/5226879,SDMLS,180060779,N,Y,32.7877148,-117.1451107
MLS Listing,,Single Family Residential,5935 Warren Pl,La Mesa,CA,91942,724900,4,2.0,La Mesa,1900,15000,1955,35,382,,Active,,,http://www.redfin.com/CA/La-Mesa/5935-Warren-Pl-91942/home/5602300,SDMLS,180064752,N,Y,32.7871443,-117.0233188
MLS Listing,,Single Family Residential,6668 Golfcrest Dr,San Diego,CA,92119,723000,4,3.0,San Carlos,2300,8000,1964,38,314,,Active,,,http://www.redfin.com/CA/San-Diego/6668-Golfcrest-Dr-92119/home/6247691,SDMLS,180064570,N,Y,32.79855,-117.042163
MLS Listing,,Single Family Residential,6757 Bluefield Ct,San Diego,CA,92120,722000,3,2.0,Del Cerro,1773,9000,1969,53,407,,Active,,,http://www.redfin.com/CA/San-Diego/6757-Bluefield-Ct-92120/home/6243764,SDMLS,180062317,N,Y,32.7957759,-117.0566523
MLS Listing,,Single Family Residential,4670 50th St,San Diego,CA,92115,719000,2,2.0,Talmadge,1204,6628,1939,60,597,,Active,,,http://www.redfin.com/CA/San-Diego/4670-50th-St-92115/home/5458764,SDMLS,180060920,N,Y,32.7623621,-117.087016
MLS Listing,,Single Family Residential,13827 Olive Park Pl,Poway,CA,92064,719000,3,2.0,Poway,1580,7100,1973,19,455,,Active,,,http://www.redfin.com/CA/Poway/13827-Olive-Park-Pl-92064/home/4738106,SDMLS,180067231,N,Y,32.9651744,-117.0427676
MLS Listing,,Single Family Residential,7531 ROWENA,San Diego,CA,92119,718900,3,2.0,San Carlos,1740,8986,1973,12,413,,Active,,,http://www.redfin.com/CA/San-Diego/7531-Rowena-St-92119/home/4979325,SDMLS,180067960,N,Y,32.8117076,-117.0452733
